"/in (modelFiles=cr018gpii_v1d0.scs:tt,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) X","/in (modelFiles=cr018gpii_v1d0.scs:tt,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) Y","/out (modelFiles=cr018gpii_v1d0.scs:tt,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) X","/out (modelFiles=cr018gpii_v1d0.scs:tt,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) Y","/out (modelFiles=cor_std_mos.scs:ff,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) X","/out (modelFiles=cor_std_mos.scs:ff,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) Y","/out (modelFiles=cor_std_mos.scs:ss,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) X","/out (modelFiles=cor_std_mos.scs:ss,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) Y","/out (modelFiles=cor_std_mos.scs:sf,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) X","/out (modelFiles=cor_std_mos.scs:sf,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) Y","/out (modelFiles=cor_std_mos.scs:fs,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) X","/out (modelFiles=cor_std_mos.scs:fs,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) Y"
2.855643219675134,1.280315590830482,2.855643219675134,0.8166733236627267,2.874295552370696,0.2939078256717482,2.845408638433155,0.8930500513166376,2.865979731369994,0.8794745874071345,2.84509359308893,0.8069859570659946
2.855677064908567,1.280437433670841,2.855677064908567,0.8050222437409567,2.875459461078406,0.2649015470118814,2.845408913200636,0.8929193629720302,2.866013721666383,0.8672692553505847,2.84510400067145,0.8031452954861082
2.855718724552294,1.280587408388257,2.855718724552294,0.7912404338289808,2.876910850570125,0.233037110264518,2.845409187852686,0.8927887246877544,2.866055549755548,0.8524786894538015,2.845118481626566,0.7978724184838532
2.855769946747754,1.280771808291914,2.855769946747754,0.7752399404319829,2.878818374511335,0.197167696840659,2.845409472448105,0.8926533559879209,2.866107353100069,0.8346119441016727,2.845132025638519,0.7930195309726785
2.855832291052793,1.280996247790054,2.855832291052793,0.7572726607244624,2.881349801491385,0.1580472181365162,2.845409780077614,0.8925070320944285,2.866170425486875,0.8137325329554832,2.845145397536294,0.7883065997268806
2.855907113358318,1.281265608089943,2.855907113358318,0.7378877098996388,2.884184259406119,0.1232829464462588,2.845410137393469,0.8923370754310456,2.866247407259486,0.7898981509837331,2.845157854175788,0.783988766969019
2.855995517762636,1.28158386394549,2.855995517762636,0.7177557624239693,2.887282251184546,0.09375756908366929,2.845410648188879,0.892094117397186,2.866340401830446,0.7639436842015574,2.845172712403901,0.778933062683195
2.856098546891416,1.281954768809099,2.856098546891416,0.697404116678417,2.890734070823246,0.06885235673577879,2.84541103704377,0.8919091591821574,2.866450266399937,0.7373528180916598,2.845192221270717,0.7724563025354182
2.856204667215063,1.282336801974227,2.856204667215063,0.6791414512811981,2.894585823951623,0.04853049742048016,2.845411409429882,0.8917320349876585,2.866575430193802,0.7116796755941552,2.845216892963687,0.7645358206756416
2.856313320114823,1.282727952413363,2.856313320114823,0.6625867875678999,2.898846605277166,0.03274559094318564,2.845411739949701,0.8915748255687883,2.866689067052786,0.6916548818657089,2.845246790538129,0.7553506965088517
2.856433108669693,1.283159191210896,2.856433108669693,0.6462448069457702,2.903563472792017,0.02101719423048268,2.845412056938294,0.8914240552372762,2.866797966634275,0.6746743196541876,2.845283496178426,0.7446941424640621
2.856570173247573,1.283652623691264,2.856570173247573,0.6294257139700195,2.906081296702076,0.01653669301753708,2.84541246075077,0.8912319899256915,2.86691880349838,0.6577621843683945,2.845328448613903,0.7325479805339521
2.856727416040538,1.284218697745938,2.856727416040538,0.6120257072604651,2.909135958684023,0.01232562672309069,2.845412991361387,0.8909796174840374,2.86705827468318,0.640187368822164,2.845383126297311,0.7190227204564508
2.856907007267263,1.284865226162146,2.856907007267263,0.5940576978351813,2.912222470540805,0.009131449040281821,2.845413632769011,0.890674550436001,2.867218576006476,0.6219693952671341,2.84544890269086,0.704353255943042
2.857111953854809,1.285603033877311,2.857111953854809,0.5754710755300106,2.915817552892629,0.006416325368989909,2.845414429712562,0.8902955126328208,2.867401226862547,0.6032011845965085,2.845527531872885,0.6887300612179497
2.857345736013044,1.286444649646959,2.857345736013044,0.5562114977559751,2.919974762420932,0.004248492716891079,2.845415409841087,0.889829358385014,2.867609779106485,0.5837766227870905,2.845621478199619,0.672227368373535
2.857611833316497,1.287402599939388,2.857611833316497,0.5362632052643346,2.925014304587931,0.002563760458523551,2.845416616942714,0.889255269684459,2.867848654788652,0.563572661295425,2.845728264111027,0.6556583882721938
2.857913912891938,1.288490086410977,2.857913912891938,0.5156273642601005,2.929473306960563,0.001633135047990739,2.84541809239552,0.888553580903532,2.868122537278379,0.5425125749061617,2.84584420023436,0.6396600323302408
2.858256376815131,1.28972295653447,2.858256376815131,0.4942880231868208,2.938391311705825,0.0006567008795230867,2.845419888657865,0.8876993672718014,2.868436898503078,0.5205236169271203,2.845973626490303,0.6236510971377046
2.858644935672395,1.291121768420621,2.858644935672395,0.4721940666197324,2.945833628406613,0.0003048300986611765,2.845422067943794,0.8866630826180346,2.868798860360024,0.4974952692530601,2.846121822459837,0.6071470214070295
2.859087156724778,1.292713764209201,2.859087156724778,0.4492554717570817,2.954311421881207,0.0001265815290258702,2.845424679811964,0.8854212267142091,2.869217872503744,0.4732736878935892,2.846292352990354,0.5900027265693415
2.859593040276349,1.294534944994857,2.859593040276349,0.4253474017520914,2.966750474368439,3.470701356523144e-05,2.845427819683023,0.883928540303706,2.869706367014417,0.4476717866685225,2.846487941372442,0.5722105792111377
2.860175845780616,1.296633044810217,2.860175845780616,0.4003126771787615,2.98500216974803,5.30426715068794e-06,2.845431525261643,0.8821672725310231,2.870280910108195,0.4204646288868892,2.846711624535442,0.5537583412950674
2.860853963442137,1.299074268391694,2.860853963442137,0.3739365427379993,3,1.29990363654347e-06,2.845435004299484,0.8805140708667071,2.870964114163995,0.3913832414870447,2.846966728227101,0.5346369531098717
2.861654584727899,1.301956505020435,2.861654584727899,0.3459011076884375,3.002354213921397,1.593212386888573e-06,2.845438190890235,0.8790002179054828,2.871791551628758,0.3599636115087003,2.847256460857286,0.514870248854764
2.862622849300111,1.3054422574804,2.862622849300111,0.3156454097482536,3.004790176305648,1.967751493267632e-06,2.845441213577847,0.8775646062377401,2.872820361762987,0.3255123714757282,2.847583859642093,0.494508689078929
2.86383339142588,1.309800209133169,2.86383339142588,0.2823536483255784,3.007901276428167,2.658987231351942e-06,2.845444225210422,0.8761346381678151,2.874151491371439,0.2869059825791845,2.847952124623473,0.4736031049853182
2.865417274436211,1.315502187970361,2.865417274436211,0.244849408204582,3.014123476673205,4.884297832123703e-06,2.84544753934314,0.8745615210322405,2.875780168711385,0.2468022183510294,2.848365148566292,0.4521804209093682
2.867378162887353,1.322561386394471,2.867378162887353,0.2058800314794494,3.02656787716328,1.737231422106031e-05,2.845451570700135,0.8726486693533981,2.877644662234395,0.2083774870394035,2.848828114191866,0.4302293315626068
2.869608168404947,1.330589406257809,2.869608168404947,0.1693836974846799,3.05145667814343,0.000230339094559809,2.845456836389036,0.8701512903855648,2.879776013154476,0.1720877143987387,2.849348060290095,0.4076980257065065
2.872134490064707,1.339684164232944,2.872134490064707,0.1358795578778225,3.063383967036172,0.0007878572400360163,2.845464185529785,0.8666678340622831,2.882227258070265,0.1382291405461872,2.849934460118923,0.3844988588504088
2.875020491608764,1.350073769791549,2.875020491608764,0.1055486586328874,3.078804998926686,0.003761381850559566,2.845471038535758,0.8634229568324927,2.885026880622943,0.1075926256382529,2.850600335574256,0.3605013204802532
2.878295138263927,1.361862497750139,2.878295138263927,0.07904948657351563,3.084233857279354,0.006448427624405954,2.845476844419323,0.8606783098252454,2.888187290816462,0.08093872218624779,2.85136507998317,0.3354865216542083
