Point,Corner,mc_iteration,Pass/Fail,Voltage_thres,gm_0,gm_1,ID_max,ID_Interpol,Gain_inter,Rout_0,Rout_1,Voh,Vol,Vih,Vil
63,nom,63,,1.25432581995087e+00,7.20705534971025e-05,9.41256157492617e-06,4.30567351659208e-06,4.29793696804343e-06,-9.23974559782338e+01,1.21293371836457e+06,1.98970446362894e+07,1.75499832112386e+00,3.95657505956032e-02,1.36753388458131e+00,1.22889532184310e+00
64,nom,64,,1.26395081032246e+00,7.23985489471958e-05,9.41302380610028e-06,4.25681955184249e-06,4.24870522682665e-06,-9.42192451577638e+01,1.23060357665143e+06,2.06659449868735e+07,1.75550789861910e+00,3.92384446851390e-02,1.37557617620805e+00,1.23890145813939e+00
65,nom,65,,1.27802580690466e+00,8.14595801278117e-05,1.00606766751022e-05,4.81267377302291e-06,4.80435521104435e-06,-8.87736876117976e+01,1.03468393311891e+06,1.79720888804989e+07,1.75436048196618e+00,3.92748898606988e-02,1.39258218378977e+00,1.25237142337979e+00
66,nom,66,,1.29252575167002e+00,8.60123792178794e-05,1.02742969181060e-05,5.02879226431953e-06,5.01934222717352e-06,-8.47998015825634e+01,9.36026632963393e+05,1.72977943567313e+07,1.75421184955584e+00,3.90587457042967e-02,1.40800770807587e+00,1.26677490252298e+00
67,nom,67,,1.25498792488499e+00,7.86445799469215e-05,1.02080369095441e-05,4.75361373541054e-06,4.74521485848183e-06,-9.06538054610374e+01,1.09068788846722e+06,1.80581151127298e+07,1.75405174349767e+00,3.95948828204389e-02,1.36949669604895e+00,1.22915508478810e+00
68,nom,68,,1.27524630818674e+00,7.97468689229741e-05,9.95109163561174e-06,4.70726694765164e-06,4.69901886202573e-06,-9.00797764360863e+01,1.07175461991152e+06,1.84560331331615e+07,1.75457338419376e+00,3.92590778720170e-02,1.38917920284066e+00,1.24972649894125e+00
69,nom,69,,1.30858524446827e+00,9.01832164078091e-05,1.05796167507451e-05,5.17875479160781e-06,5.16678486541201e-06,-8.18341398188878e+01,8.59086221683496e+05,1.73986932537070e+07,1.75454486322878e+00,3.87273862817874e-02,1.42346940800320e+00,1.28292371462170e+00
70,nom,70,,1.29387302717063e+00,8.29087772178350e-05,9.92839610031551e-06,4.81494730096147e-06,4.80569650744890e-06,-8.54839242862683e+01,9.78643829258539e+05,1.81422029579256e+07,1.75470448050016e+00,3.90471349385133e-02,1.40860135390904e+00,1.26830117895272e+00
71,nom,71,,1.25745231456869e+00,7.60101076598137e-05,9.87081322377602e-06,4.55578123430506e-06,4.54745269908464e-06,-9.12803807165253e+01,1.13588667301348e+06,1.89447991364482e+07,1.75456312145534e+00,3.95318009601774e-02,1.37114337091009e+00,1.23182987623297e+00
72,nom,72,,1.27000292657479e+00,7.76771331512618e-05,9.79111259926937e-06,4.58771188493138e-06,4.58013863044255e-06,-9.28895105088788e+01,1.13543161648113e+06,1.88807971022048e+07,1.75469208219212e+00,3.91943912987956e-02,1.38339518070216e+00,1.24473437586998e+00
73,nom,73,,1.27601604794051e+00,8.48915332169674e-05,1.04878607633655e-05,5.06014717456349e-06,5.05142951900965e-06,-8.75621259230420e+01,9.79034988793591e+05,1.70439157338451e+07,1.75381351114148e+00,3.93454396782354e-02,1.39141509810445e+00,1.25008079425634e+00
74,nom,74,,1.25509544976153e+00,6.55362927393231e-05,8.75062415413056e-06,3.83792393687050e-06,3.83026202927978e-06,-9.65166917837707e+01,1.38980408915814e+06,2.28433332340159e+07,1.75636805490386e+00,3.93066590932453e-02,1.36525559157975e+00,1.23036598577830e+00
75,nom,75,,1.27355466887271e+00,8.10865308135631e-05,1.01232077789356e-05,4.80640204133346e-06,4.79821181306505e-06,-9.02302823516702e+01,1.05620466798595e+06,1.80258484796742e+07,1.75430989469370e+00,3.92658782572144e-02,1.38781511045037e+00,1.24797186544684e+00
76,nom,76,,1.28064869397949e+00,7.87477008173766e-05,9.76451068728468e-06,4.60158425406645e-06,4.59325331015096e-06,-9.04609667370313e+01,1.08986945641255e+06,1.90418806435682e+07,1.75495712867549e+00,3.91043920021691e-02,1.39392488728952e+00,1.25535552607045e+00
77,nom,77,,1.28098291486138e+00,8.81083132500483e-05,1.08127308767381e-05,5.23873635871128e-06,5.22896196426920e-06,-8.59061130581756e+01,9.24257370401184e+05,1.66566340939307e+07,1.75366780455378e+00,3.92384348374574e-02,1.39654444289392e+00,1.25495812177359e+00
78,nom,78,,1.27962471938743e+00,8.27403251516066e-05,1.02322364910396e-05,4.87991289114673e-06,4.87104643781416e-06,-8.86184854774914e+01,1.01583983348276e+06,1.79039782112871e+07,1.75434332002215e+00,3.91868800397543e-02,1.39394498917581e+00,1.25399610833896e+00
79,nom,79,,1.25189544248422e+00,7.44115253688417e-05,9.67891835019991e-06,4.49168538385068e-06,4.48384805376530e-06,-9.04230058356926e+01,1.15017373678021e+06,1.88407052553486e+07,1.75443631956459e+00,3.97315737063625e-02,1.36640955424556e+00,1.22610797150269e+00
80,nom,80,,1.26672783505385e+00,7.52406580512896e-05,9.58777596560697e-06,4.44665009828588e-06,4.43885376772710e-06,-9.23594488233282e+01,1.16359951934256e+06,1.94804801305099e+07,1.75496387980500e+00,3.93079215650257e-02,1.37983486141013e+00,1.24142908035970e+00
81,nom,81,,1.25922219292236e+00,8.42975143752400e-05,1.07946936411526e-05,5.11655543766259e-06,5.10779060954926e-06,-8.94980396687020e+01,1.00563761784911e+06,1.68049400530865e+07,1.75340555970541e+00,3.95282035304009e-02,1.37463141782436e+00,1.23316784320411e+00
82,nom,82,,1.29949555285559e+00,8.89419713993571e-05,1.05253992310251e-05,5.16908534295799e-06,5.15844298456139e-06,-8.31484935122729e+01,8.86462819733886e+05,1.70747940231187e+07,1.75420056749030e+00,3.89137193832106e-02,1.41496712251804e+00,1.27371955580213e+00
83,nom,83,,1.26842589732804e+00,7.92621193538761e-05,1.00671745063483e-05,4.71509104674325e-06,4.70638153928168e-06,-8.97660611038648e+01,1.07229699925033e+06,1.84545352059047e+07,1.75447675393937e+00,3.93950058801851e-02,1.38235820781299e+00,1.24275273967115e+00
84,nom,84,,1.29093352207129e+00,8.14643570308778e-05,9.86749911032719e-06,4.71669683299955e-06,4.70770779046491e-06,-8.82702001974925e+01,1.02817013199859e+06,1.86793819011321e+07,1.75491737564740e+00,3.88889614353031e-02,1.40465401683345e+00,1.26567496464483e+00
85,nom,85,,1.25309129109625e+00,7.08216892963633e-05,9.34533321751403e-06,4.21874081887099e-06,4.21083783272513e-06,-9.35468898265757e+01,1.24813212679856e+06,2.04941411546971e+07,1.75527009555570e+00,3.95099157431496e-02,1.36547628667326e+00,1.22781182296116e+00
