/ed_neo1 (Design_Point=1) X,/ed_neo1 (Design_Point=1) Y,GanhoEdNeo (Design_Point=1) X,GanhoEdNeo (Design_Point=1) Y,/I37/I0/b1 (Design_Point=1) X,/I37/I0/b1 (Design_Point=1) Y,GanhoVprod (Design_Point=1) X,GanhoVprod (Design_Point=1) Y
-0.4059999999999999,1.697696627861729,-0.4049999999999999,-0.04549226145167391,-0.4059999999999999,1.247932058126173,-0.4049999999999999,0.2498269053601285
-0.4049999999999999,1.697651135600278,-0.4039999999999999,-0.04576209012308037,-0.4049999999999999,1.248181885031533,-0.4039999999999999,0.2498246047879513
-0.4039999999999999,1.697605373510155,-0.4029999999999999,-0.04603420283366684,-0.4039999999999999,1.248431709636321,-0.4029999999999999,0.2498222396321024
-0.4029999999999999,1.697559339307321,-0.4019999999999999,-0.04630862623922201,-0.4029999999999999,1.248681531875953,-0.4019999999999999,0.2498198083591416
-0.4019999999999999,1.697513030681082,-0.4009999999999999,-0.04658538760460292,-0.4019999999999999,1.248931351684312,-0.4009999999999999,0.2498173093892218
-0.4009999999999999,1.697466445293477,-0.3999999999999999,-0.04686451224111816,-0.4009999999999999,1.249181168993702,-0.3999999999999999,0.2498147411114091
-0.3999999999999999,1.697419580781236,-0.3989999999999999,-0.0471460280144775,-0.3999999999999999,1.249430983734813,-0.3989999999999999,0.2498121018765784
-0.3989999999999999,1.697372434753222,-0.3979999999999999,-0.04742996259743389,-0.3989999999999999,1.24968079583669,-0.3979999999999999,0.2498093899949703
-0.3979999999999999,1.697325004790624,-0.3969999999999999,-0.04771634330569259,-0.3979999999999999,1.249930605226685,-0.3969999999999999,0.2498066037404099
-0.3969999999999999,1.697277288447318,-0.3959999999999999,-0.04800519913339403,-0.3969999999999999,1.250180411830425,-0.3959999999999999,0.2498037413458662
-0.3959999999999999,1.697229283248185,-0.3949999999999999,-0.04829655868743284,-0.3959999999999999,1.250430215571771,-0.3949999999999999,0.2498008009985673
-0.3949999999999999,1.697180986689498,-0.3939999999999999,-0.04859045172111993,-0.3949999999999999,1.250680016372769,-0.3939999999999999,0.2497977808511018
-0.3939999999999999,1.697132396237776,-0.3929999999999999,-0.04888690645521439,-0.3939999999999999,1.25092981415362,-0.3929999999999999,0.2497946790067649
-0.3929999999999999,1.697083509331321,-0.3919999999999999,-0.04918595517877651,-0.3929999999999999,1.251179608832627,-0.3919999999999999,0.2497914935291055
-0.3919999999999999,1.697034323376142,-0.3909999999999999,-0.04948762615808451,-0.3919999999999999,1.251429400326156,-0.3909999999999999,0.2497882224314905
-0.3909999999999999,1.696984835749984,-0.3899999999999999,-0.04979195308862923,-0.3909999999999999,1.251679188548588,-0.3899999999999999,0.2497848636873188
-0.3899999999999999,1.696935043796896,-0.3889999999999999,-0.05009896502095042,-0.3899999999999999,1.251928973412275,-0.3889999999999999,0.2497814152213615
-0.3889999999999999,1.696884944831875,-0.3879999999999999,-0.05040869646522057,-0.3889999999999999,1.252178754827497,-0.3879999999999999,0.2497778749033228
-0.3879999999999999,1.69683453613541,-0.3869999999999999,-0.05072117792903615,-0.3879999999999999,1.2524285327024,-0.3869999999999999,0.2497742405622725
