/ed_neo1 (Design_Point=1) X,/ed_neo1 (Design_Point=1) Y,/Vprod (Design_Point=1) X,/Vprod (Design_Point=1) Y
-0.322200000000136,1.723624063652884,-0.322200000000136,1.281873386503325
-0.321840000000136,1.723604114907727,-0.321840000000136,1.281963161716395
-0.321480000000136,1.723584120378194,-0.321480000000136,1.282052935077386
-0.321120000000136,1.723564079914016,-0.321120000000136,1.282142706570215
-0.3207600000001359,1.723543993364709,-0.3207600000001359,1.282232476178667
-0.3204000000001359,1.723523860578738,-0.3204000000001359,1.282322243886388
-0.3200400000001359,1.723503681404241,-0.3200400000001359,1.282412009676897
-0.3196800000001359,1.723483455688554,-0.3196800000001359,1.28250177353357
-0.3193200000001358,1.723463183278362,-0.3193200000001358,1.282591535439652
-0.3189600000001358,1.723442864019582,-0.3189600000001358,1.282681295378244
-0.3186000000001358,1.723422497757616,-0.3186000000001358,1.28277105333231
-0.3182400000001357,1.723402084336932,-0.3182400000001357,1.282860809284673
-0.3178800000001357,1.7233816236018,-0.3178800000001357,1.282950563218015
-0.3175200000001357,1.723361115395167,-0.3175200000001357,1.283040315114876
-0.3171600000001357,1.723340559559789,-0.3171600000001357,1.283130064957648
-0.3168000000001356,1.723319955937512,-0.3168000000001356,1.283219812728586
-0.3164400000001356,1.723299304369614,-0.3164400000001356,1.28330955840979
-0.3160800000001356,1.723278604696381,-0.3160800000001356,1.283399301983215
-0.3157200000001356,1.72325785675766,-0.3157200000001356,1.283489043430671
-0.3153600000001355,1.723237060392655,-0.3153600000001355,1.283578782733818
-0.3150000000001355,1.723216215439376,-0.3150000000001355,1.28366851987416
-0.3146400000001355,1.723195321735866,-0.3146400000001355,1.283758254833051
-0.3142800000001355,1.723174379118705,-0.3142800000001355,1.283847987591697
-0.3139200000001354,1.72315338742417,-0.3139200000001354,1.283937718131141
-0.3135600000001354,1.723132346487807,-0.3135600000001354,1.284027446432276
-0.3132000000001354,1.723111256144007,-0.3132000000001354,1.284117172475838
-0.3128400000001353,1.723090116227206,-0.3128400000001353,1.2842068962424
-0.3124800000001353,1.72306892657017,-0.3124800000001353,1.284296617712382
-0.3121200000001353,1.723047687005646,-0.3121200000001353,1.284386336866038
-0.3117600000001353,1.723026397365224,-0.3117600000001353,1.284476053683461
-0.3114000000001352,1.723005057479902,-0.3114000000001352,1.284565768144583
-0.3110400000001352,1.722983667179892,-0.3110400000001352,1.284655480229169
